date,temperature,humidity,luminosity
2021-11-17 15:40:27.969,20.4,27.3,111
2021-11-17 15:40:25.692,20.5,27.3,112
2021-11-17 15:40:23.414,20.5,27.4,112
2021-11-17 15:40:21.136,20.5,27.4,112
2021-11-17 15:40:18.859,20.5,27.4,112
2021-11-17 15:40:16.585,20.5,27.4,112
2021-11-17 15:40:14.308,20.5,27.4,112
2021-11-17 15:40:12.030,20.5,27.5,112
2021-11-17 15:40:09.752,20.5,27.5,112
2021-11-17 15:40:07.475,20.5,27.5,112
2021-11-17 15:40:05.197,20.4,27.4,112
2021-11-17 15:40:02.920,20.4,27.5,112
2021-11-17 15:40:00.642,20.4,27.5,112
2021-11-17 15:39:58.364,20.4,27.5,112
2021-11-17 15:39:56.087,20.4,27.5,112
2021-11-17 15:39:53.813,20.4,27.5,112
2021-11-17 15:39:51.536,20.4,27.6,112
2021-11-17 15:39:49.258,20.4,27.6,112
2021-11-17 15:39:46.981,20.4,27.6,112
2021-11-17 15:39:44.703,20.4,27.6,112
2021-11-17 15:39:42.426,20.4,27.6,112
2021-11-17 15:39:40.148,20.4,27.6,112
2021-11-17 15:39:37.870,20.4,27.6,112
2021-11-17 15:39:35.593,20.4,27.6,112
2021-11-17 15:39:33.319,20.4,27.6,112
2021-11-17 15:39:31.042,20.4,27.5,112
2021-11-17 15:39:28.764,20.4,27.5,112
2021-11-17 15:39:26.486,20.4,27.5,112
2021-11-17 15:39:24.209,20.4,27.5,112
2021-11-17 15:39:21.931,20.4,27.5,112
2021-11-17 15:39:19.653,20.4,27.5,112
2021-11-17 15:39:17.376,20.4,27.5,111
2021-11-17 15:39:15.102,20.4,27.5,111
2021-11-17 15:39:12.825,20.4,27.5,112
2021-11-17 15:39:10.547,20.4,27.4,112
2021-11-17 15:39:08.270,20.4,27.4,111
2021-11-17 15:39:05.992,20.4,27.4,112
2021-11-17 15:39:03.714,20.4,27.4,112
2021-11-17 15:39:01.437,20.4,27.4,114
2021-11-17 15:38:59.159,20.4,27.4,111
2021-11-17 15:38:56.881,20.4,27.4,112
2021-11-17 15:38:54.604,20.4,27.4,112
2021-11-17 15:38:52.326,20.4,27.4,112
2021-11-17 15:38:50.049,20.4,27.4,112
2021-11-17 15:38:47.775,20.4,27.4,111
2021-11-17 15:38:45.497,20.4,27.4,111
2021-11-17 15:38:43.220,20.4,27.4,113
2021-11-17 15:38:40.942,20.4,27.4,113
2021-11-17 15:38:38.665,20.4,27.4,113
2021-11-17 15:38:36.387,20.4,27.3,112
2021-11-17 15:38:34.109,20.4,27.3,112
2021-11-17 15:38:31.832,20.4,27.3,112
2021-11-17 15:38:29.554,20.4,27.3,111
2021-11-17 15:38:27.276,20.4,27.3,112
2021-11-17 15:38:24.999,20.4,27.3,112
2021-11-17 15:38:22.721,20.4,27.3,112
2021-11-17 15:38:20.448,20.4,27.2,112
2021-11-17 15:38:18.170,20.4,27.2,112
2021-11-17 15:38:15.892,20.4,27.2,112
2021-11-17 15:38:13.615,20.4,27.2,112
2021-11-17 15:38:11.337,20.4,27.2,113
2021-11-17 15:38:09.060,20.4,27.2,112
2021-11-17 15:38:06.782,20.4,27.2,113
2021-11-17 15:38:04.504,20.4,27.2,112
2021-11-17 15:38:02.227,20.4,27.1,111
2021-11-17 15:37:59.949,20.4,27.1,112
2021-11-17 15:37:57.676,20.4,27.1,112
2021-11-17 15:37:55.398,20.4,27.1,112
2021-11-17 15:37:53.120,20.4,27.1,112
2021-11-17 15:37:50.843,20.4,27.1,112
2021-11-17 15:37:48.565,20.5,27.1,112
2021-11-17 15:37:46.288,20.5,27.1,112
2021-11-17 15:37:44.011,20.5,27.1,112
2021-11-17 15:37:41.733,20.5,27.0,112
2021-11-17 15:37:39.455,20.5,27.0,112
2021-11-17 15:37:37.178,20.5,27.0,112
2021-11-17 15:37:34.900,20.5,27.0,112
2021-11-17 15:37:32.623,20.5,27.0,112
2021-11-17 15:37:30.345,20.5,27.0,112
2021-11-17 15:37:28.072,20.5,27.0,112
2021-11-17 15:37:25.794,20.5,27.0,112
2021-11-17 15:37:23.516,20.5,27.0,112
2021-11-17 15:37:21.239,20.5,27.0,112
2021-11-17 15:37:18.961,20.5,27.0,112
2021-11-17 15:37:16.683,20.5,27.1,112
2021-11-17 15:37:14.406,20.5,27.1,111
2021-11-17 15:37:12.128,20.6,27.2,112
2021-11-17 15:37:09.851,20.5,27.1,112
2021-11-17 15:37:07.573,20.6,27.2,113
2021-11-17 15:37:05.295,20.6,27.1,112
2021-11-17 15:37:03.018,20.6,27.1,112
