date,temperature,humidity,luminosity
2021-11-17 15:26:41.340,21.0,27.5,114
2021-11-17 15:26:39.062,21.0,27.5,113
2021-11-17 15:26:36.785,21.0,27.6,114
2021-11-17 15:26:34.507,21.0,27.6,113
2021-11-17 15:26:32.229,21.0,27.6,113
2021-11-17 15:26:29.952,21.0,27.7,113
2021-11-17 15:26:27.674,21.0,27.7,113
2021-11-17 15:26:25.397,21.0,27.7,114
2021-11-17 15:26:23.123,21.0,27.7,113
2021-11-17 15:26:20.846,21.0,27.7,114
2021-11-17 15:26:18.568,21.0,27.7,114
2021-11-17 15:26:16.290,21.0,27.7,114
2021-11-17 15:26:14.013,21.0,27.7,114
2021-11-17 15:26:11.735,21.0,27.7,114
2021-11-17 15:26:09.457,21.0,27.8,113
2021-11-17 15:26:07.180,21.0,27.8,113
2021-11-17 15:26:04.902,21.0,27.8,114
2021-11-17 15:26:02.625,21.0,27.8,113
2021-11-17 15:26:00.347,21.0,27.8,114
2021-11-17 15:25:58.073,21.0,27.8,113
2021-11-17 15:25:55.796,21.0,27.8,113
2021-11-17 15:25:53.518,21.0,27.8,113
2021-11-17 15:25:51.241,21.0,27.8,113
2021-11-17 15:25:48.963,21.0,27.8,113
2021-11-17 15:25:46.686,21.0,27.8,114
2021-11-17 15:25:44.408,20.9,27.7,113
2021-11-17 15:25:42.130,21.0,27.8,113
2021-11-17 15:25:39.853,20.9,27.7,113
2021-11-17 15:25:37.575,21.0,27.8,113
2021-11-17 15:25:35.297,20.9,27.7,114
2021-11-17 15:25:33.020,21.0,27.8,114
2021-11-17 15:25:30.746,20.9,27.7,113
2021-11-17 15:25:28.469,21.0,27.8,113
2021-11-17 15:25:26.191,21.0,27.7,113
2021-11-17 15:25:23.913,21.0,27.7,113
2021-11-17 15:25:21.636,20.9,27.7,114
2021-11-17 15:25:19.358,20.9,27.7,114
2021-11-17 15:25:17.081,21.0,27.7,114
2021-11-17 15:25:14.803,21.0,27.7,113
2021-11-17 15:25:12.525,20.9,27.7,114
2021-11-17 15:25:10.248,21.0,27.7,113
2021-11-17 15:25:07.970,21.0,27.7,114
2021-11-17 15:25:05.697,21.0,27.7,114
2021-11-17 15:25:03.419,20.9,27.7,114
2021-11-17 15:25:01.141,21.0,27.7,114
2021-11-17 15:24:58.864,21.0,27.7,115
2021-11-17 15:24:56.586,21.0,27.7,115
2021-11-17 15:24:54.309,21.0,27.7,114
2021-11-17 15:24:52.031,21.0,27.8,114
2021-11-17 15:24:49.753,20.9,27.7,114
2021-11-17 15:24:47.476,21.0,27.8,114
2021-11-17 15:24:45.198,21.0,27.8,114
2021-11-17 15:24:42.921,21.0,27.8,114
2021-11-17 15:24:40.647,21.0,27.8,114
2021-11-17 15:24:38.369,21.0,27.8,114
2021-11-17 15:24:36.092,21.0,27.8,114
2021-11-17 15:24:33.814,21.0,27.7,114
2021-11-17 15:24:31.537,21.0,27.7,114
2021-11-17 15:24:29.259,21.0,27.7,114
2021-11-17 15:24:26.981,20.9,27.7,114
2021-11-17 15:24:24.703,20.9,27.7,114
2021-11-17 15:24:22.426,20.9,27.7,114
2021-11-17 15:24:20.148,21.0,27.7,114
2021-11-17 15:24:17.871,21.0,27.7,114
2021-11-17 15:24:15.597,21.0,27.8,114
2021-11-17 15:24:13.319,20.9,27.7,114
2021-11-17 15:24:11.042,20.9,27.7,114
2021-11-17 15:24:08.764,20.9,27.7,113
2021-11-17 15:24:06.487,20.9,27.7,113
2021-11-17 15:24:04.209,20.9,27.8,114
2021-11-17 15:24:01.931,20.9,27.8,113
2021-11-17 15:23:59.654,20.9,27.7,114
2021-11-17 15:23:57.376,20.9,27.7,114
